T_K,B2V_LJ_A3mol, B2V_SW_A3mol, B2V_HS_A3mol,B2V_LJ_cm3mol, B2V_SW_cm3mol, B2V_HS_cm3mol
3.828282828282828518e+02,-9.769800107706441605e+23,7.723763933444364508e+24,4.938475327929690809e+25,-9.769800107706441139e-01,7.723763933444363516e+00,4.938475327929690195e+01
3.898989898989898961e+02,-2.242827849916579515e+23,8.597154892371764703e+24,4.938475327929690809e+25,-2.242827849916579352e-01,8.597154892371763779e+00,4.938475327929690195e+01
3.969696969696969973e+02,4.977228897780448352e+23,9.434897250634312924e+24,4.938475327929690809e+25,4.977228897780447969e-01,9.434897250634312726e+00,4.938475327929690195e+01
4.040404040404040416e+02,1.190793649086495612e+24,1.023911884178352186e+25,4.938475327929690809e+25,1.190793649086495432e+00,1.023911884178352061e+01,4.938475327929690195e+01
4.111111111111111427e+02,1.856555908309320091e+24,1.101178219595454651e+25,4.938475327929690809e+25,1.856555908309319936e+00,1.101178219595454522e+01,4.938475327929690195e+01
4.181818181818181870e+02,2.496517667959235477e+24,1.175470022567984973e+25,4.938475327929690809e+25,2.496517667959235354e+00,1.175470022567984962e+01,4.938475327929690195e+01
4.252525252525252881e+02,3.112079059592532973e+24,1.246955016473885425e+25,4.938475327929690809e+25,3.112079059592532726e+00,1.246955016473885358e+01,4.938475327929690195e+01
4.323232323232323324e+02,3.704541786189195410e+24,1.315788598223585834e+25,4.938475327929690809e+25,3.704541786189194941e+00,1.315788598223585737e+01,4.938475327929690195e+01
4.393939393939393767e+02,4.275117589775242548e+24,1.382114946246127117e+25,4.938475327929690809e+25,4.275117589775241811e+00,1.382114946246126941e+01,4.938475327929690195e+01
4.464646464646464779e+02,4.824935861151198337e+24,1.446068011442136918e+25,4.938475327929690809e+25,4.824935861151198324e+00,1.446068011442136836e+01,4.938475327929690195e+01
4.535353535353535221e+02,5.355050491355607872e+24,1.507772405236955502e+25,4.938475327929690809e+25,5.355050491355607178e+00,1.507772405236955393e+01,4.938475327929690195e+01
4.606060606060606233e+02,5.866446051491942568e+24,1.567344196954420349e+25,4.938475327929690809e+25,5.866446051491942093e+00,1.567344196954420177e+01,4.938475327929690195e+01
4.676767676767676676e+02,6.360043376425221218e+24,1.624891631104791100e+25,4.938475327929690809e+25,6.360043376425220885e+00,1.624891631104791045e+01,4.938475327929690195e+01
4.747474747474747687e+02,6.836704618312627940e+24,1.680515773792466504e+25,4.938475327929690809e+25,6.836704618312626991e+00,1.680515773792466305e+01,4.938475327929690195e+01
4.818181818181818130e+02,7.297237827723245860e+24,1.734311096262102180e+25,4.938475327929690809e+25,7.297237827723245474e+00,1.734311096262101870e+01,4.938475327929690195e+01
4.888888888888889142e+02,7.742401113029213931e+24,1.786366002583882933e+25,4.938475327929690809e+25,7.742401113029213633e+00,1.786366002583882917e+01,4.938475327929690195e+01
4.959595959595959584e+02,8.172906422630160242e+24,1.836763307603492542e+25,4.938475327929690809e+25,8.172906422630159540e+00,1.836763307603492379e+01,4.938475327929690195e+01
5.030303030303030596e+02,8.589422989278076587e+24,1.885580670528268552e+25,4.938475327929690809e+25,8.589422989278075349e+00,1.885580670528268499e+01,4.938475327929690195e+01
5.101010101010101039e+02,8.992580471166464950e+24,1.932890988869398674e+25,4.938475327929690809e+25,8.992580471166464307e+00,1.932890988869398541e+01,4.938475327929690195e+01
