T_K,Z_iso,Z_soc,Z_cfs,U_iso_eV,F_iso_eV,S_iso_eV_perK,U_soc_eV,F_soc_eV,S_soc_eV_perK,U_cfs_eV,F_cfs_eV,S_cfs_eV_perK,U_iso_J,F_iso_J,S_iso_J_perK,U_soc_J,F_soc_J,S_soc_J_perK,U_cfs_J,F_cfs_J,S_cfs_J_perK
470.8542713567839,14.0,6.008055940238007,4.686049772966397,0.0,-0.10707996687059244,0.00022741636507201597,0.0003754397910204101,-0.07275522879109514,0.00015531486710609386,0.014384307471028665,-0.06267186395204855,0.0001636518475260658,0.0,-1.7156102088955732e-20,3.643611863075977e-23,6.015208606467441e-23,-1.165667275704167e-20,2.4884185099019876e-23,2.3046201326353758e-21,-1.0041139603319908e-20,2.6219916621719332e-23
479.3969849246231,14.0,6.009110064009247,4.716362079283728,0.0,-0.10902271973804183,0.00022741636507201597,0.00042449179585959593,-0.07408247509764027,0.0001554180965598163,0.014982485773693297,-0.06407528655517689,0.00016491086680760133,0.0,-1.7467365413942122e-20,3.643611863075977e-23,6.801108366509424e-23,-1.1869321059032609e-20,2.4900724280889343e-23,2.4004588625848813e-21,-1.0265992693555875e-20,2.6421633749182502e-23
487.9396984924623,14.0,6.010257856382117,4.747003368915765,0.0,-0.11096547260549121,0.00022741636507201597,0.0004778829553782094,-0.07541063371144824,0.0001555284739103858,0.015581737188149739,-0.06548937953863049,0.00016614986847198008,0.0,-1.777862873892851e-20,3.643611863075977e-23,7.656529048938317e-23,-1.2082115528761506e-20,2.4918408682089874e-23,2.496469523998237e-21,-1.0492555367195146e-20,2.662014370079798e-23
496.4824120603015,14.0,6.0115031907677,4.777951219258245,0.0,-0.11290822547294059,0.00022741636507201597,0.0005357883565465712,-0.07673976616863727,0.0001556461067865545,0.016181441047358244,-0.06691396940265874,0.00016736828623029737,0.0,-1.80898920639149e-20,3.643611863075977e-23,8.584275856281772e-23,-1.2295066025401433e-20,2.4937255546648642e-23,2.5925526750525863e-21,-1.0720799826513078e-20,2.681535574708064e-23
505.0251256281407,14.0,6.012849805359643,4.809183877315817,0.0,-0.11485097834038997,0.00022741636507201597,0.0005983760807550637,-0.07806993484130734,0.0001557710833183126,0.016781013675060887,-0.06834887825507333,0.00016856565665767867,0.0,-1.840115538890129e-20,3.643611863075977e-23,9.587041749302602e-23,-1.2508182542064511e-20,2.4957278994546764e-23,2.6886148005017018e-21,-1.0950697570038917e-20,2.700719563917993e-23
513.5678391959799,14.0,6.014301293023362,4.840680269809444,0.0,-0.11679373120783935,0.00022741636507201597,0.0006658066916578184,-0.07940120277217792,0.00015590347243936705,0.017379907794971866,-0.06979392465535014,0.00016974161113125321,0.0,-1.8712418713887678e-20,3.643611863075977e-23,1.0667399241349991e-22,-1.2721475179307949e-20,2.4978490070181685e-23,2.7845682170178384e-21,-1.118221952779585e-20,2.719560431720082e-23
522.1105527638191,14.0,6.015861092602371,4.872420009072063,0.0,-0.11873648407528875,0.000227416365072016,0.0007382327916655446,-0.08073363351228009,0.00015604332429725872,0.01797761175185506,-0.07124892439112027,0.00017089586806979872,0.0,-1.902368203887407e-20,3.6436118630759776e-23,1.1827793292591254e-22,-1.2934954119129451e-20,2.5000896808075237e-23,2.880330948394598e-21,-1.1415336185708556e-20,2.738053666685782e-23
530.6532663316583,14.0,6.0175324815872715,4.904383395239501,0.0,-0.12067923694273813,0.00022741636507201597,0.000815798644952423,-0.08206729096255973,0.00015619067075658066,0.018573648577988464,-0.07271369118978038,0.00017202822550933713,0.0,-1.933494536386046e-20,3.643611863075977e-23,1.3070535269916342e-22,-1.3148629599589256e-20,2.5024504313498063e-23,2.9758265759780443e-21,-1.1650017699615777e-20,2.7561960329954267e-23
539.1959798994975,14.0,6.019318570084054,4.936551415199956,0.0,-0.12262198981018751,0.00022741636507201597,0.0008986398643890905,-0.0834022392201282,0.0001563455259815372,0.019167574935106776,-0.07418803736820291,0.00017313855403875702,0.0,-1.964620868884685e-20,3.643611863075977e-23,1.4397797931051293e-22,-1.3362511890176778e-20,2.504931485580588e-23,3.070984069147214e-21,-1.1886233999365355e-20,2.773985457254428e-23
547.7386934673367,14.0,6.021222296011813,4.968905738723753,0.0,-0.1245647426776369,0.00022741636507201597,0.000986883159461399,-0.08473854242978206,0.00015650788708494905,0.019758979958648053,-0.07567177442369251,0.00017422679011087861,0.0,-1.995747201383324e-20,3.643611863075977e-23,1.5811611385771495e-22,-1.357661126802144e-20,2.507532797242157e-23,3.1657376001420195e-21,-1.2123954883495895e-20,2.79142092132472e-23
556.2814070351758,14.0,6.02324642145531,5.001428712155777,0.0,-0.12650749554508625,0.00022741636507201597,0.0010806461419710753,-0.08607626464130823,0.00015667773483173068,0.020347484028041096,-0.07716471356943572,0.0001752929297371083,0.0,-2.0268735338819628e-20,3.643611863075977e-23,1.7313859982883035e-22,-1.3790937995030442e-20,2.510254058154468e-23,3.2600263470415642e-21,-1.2363150105025264e-20,2.808502361301987e-23
564.824120603015,14.0,6.025393530094894,5.0341033500162435,0.0,-0.12845024841253563,0.00022741636507201597,0.0011800371861285701,-0.08741546967299153,0.00015685503438580875,0.02093273748387923,-0.0786666662177341,0.000176337022567803,0.0,-2.0579998663806018e-20,3.643611863075977e-23,1.8906280068663038e-22,-1.4005502296020263e-20,2.513094710182093e-23,3.3537942882327254e-21,-1.2603789448873073e-20,2.8252305726726465e-23
573.3668341708542,14.0,6.027666025634808,5.066913324821107,0.0,-0.13039300127998504,0.00022741636507201603,0.001285155339529667,-0.08875622098165244,0.00015703973609040528,0.02151441931014662,-0.08017744441430617,0.0001773591663555312,0.0,-2.089126198879241e-20,3.6436118630759776e-23,2.059045856054769e-22,-1.4220314337894406e-20,2.5160539577357383e-23,3.446989991279531e-21,-1.2845842801443516e-20,2.84160712160551e-23
581.9095477386934,14.0,6.030066131150638,5.099842955401738,0.0,-0.13233575414743443,0.000227416365072016,0.0013960902814463979,-0.09009858153946015,0.00015723177627254237,0.022092235797200918,-0.08169686122690353,0.0001783595017944455,0.0,-2.12025253137788e-20,3.6436118630759776e-23,2.2367832278879024e-22,-1.443538420990668e-20,2.5191307806618297e-23,3.5395663987093675e-21,-1.3089280212888541e-20,2.857634262269416e-23
590.4522613065326,14.0,6.032595889277457,5.132877193974079,0.0,-0.1342785070148838,0.000227416365072016,0.001512922324850293,-0.09144261371769226,0.00015743107806354017,0.022665919198970253,-0.0832247310914131,0.00017933820772584076,0.0,-2.151378863876519e-20,3.6436118630759776e-23,2.423968797932097e-22,-1.465072190503744e-20,2.5223239473883403e-23,3.631480612872213e-21,-1.3334071952559538e-20,2.873314860017803e-23
